year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,30585,597.7156242145692,0,12000,12000,0,5377.16,5377.16,31.0
2020,30989,678.1135393770421,0,12000,12000,0,3840.32,3840.32,32.1
2021,31440,818.8908315016337,0,12000,12000,0,2741.24,2741.24,33.4
2022,31984,959.6681236262252,0,12000,12000,0,1642.17,1642.17,34.7
2023,32435,1100.445415750817,0,12000,12000,0,821.08,821.08,36.6
2024,32932,1241.2227078754086,0,12000,12000,0,0.0,0.0,37.5
2025,33414,1382.0,0,12000,12000,0,0.0,0.0,39.6
2026,33833,2027.4,0,12400,12400,0,0.0,0.0,39.6
2027,34331,2672.8,0,12800,12800,0,0.0,0.0,39.5
2028,34797,3318.2000000000003,0,13200,13200,0,0.0,0.0,39.4
2029,35263,3963.6000000000004,0,13600,13600,0,0.0,0.0,39.3
2030,35605,4609.0,0,14000,14000,0,0.0,0.0,39.2
