year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,179597,2556.0776693980492,0,12000,12000,0,5377.16,5377.16,31.0
2020,181968,2899.892198059565,0,12000,12000,0,3840.32,3840.32,32.1
2021,184614,3501.913758447652,0,12000,12000,0,2741.24,2741.24,33.4
2022,187809,4103.935318835739,0,12000,12000,0,1642.17,1642.17,34.7
2023,190456,4705.956879223826,0,12000,12000,0,821.08,821.08,36.6
2024,193376,5307.978439611913,0,12000,12000,0,0.0,0.0,37.5
2025,196204,5910.0,0,12000,12000,0,0.0,0.0,39.6
2026,198668,8668.4,0,12400,12400,0,0.0,0.0,39.6
2027,201588,11426.8,0,12800,12800,0,0.0,0.0,39.5
2028,204325,14185.199999999999,0,13200,13200,0,0.0,0.0,39.4
2029,207064,16943.6,0,13600,13600,0,0.0,0.0,39.3
2030,209070,19702.0,0,14000,14000,0,0.0,0.0,39.2
