Year,NPV
Utility Bills,66231779.24874953
Utility Bills (volumetric),59943651.32198893
Utility Bills (demand),5077403.412557194
Utility Bills (res),56004174.176551916
Utility Bills (work),6066338.247208146
Utility Bills (pub L2),1704076.8747252775
Utility Bills (DCFC),2457189.9502641866
Incremental upfront vehicle cost,2426257.344964626
Charging infrastructure cost,26672884.23353774
Charging infrastructure cost (res),13759444.135242233
Charging infrastructure cost (work L2),5520485.072231053
Charging infrastructure cost (public L2),3312291.0433386313
Charging infrastructure cost (DCFC),4080663.9827258224
Avoided vehicle gasoline,72053026.04305181
Vehicle O&M Savings,16543716.113430977
Federal EV Tax Credit,8164249.246199614
Total Energy Supply Cost,25681660.18624804
Energy Cost,21762004.605453346
Generation Capacity Cost,3919655.5807947037
Vehicle Sales (NPV),6291.465339752924
Transmission and Distribution Cost,3663663.9265302257
Distribution Cost,3174733.544999631
Transmission Cost,488930.381530594
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
