Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,1938734.4996701828,2340950.856052123,2743435.0997840515,3152136.818187985,3556608.8444728646,3951191.5333680715,5794743.979318954,7638024.899022192,9497478.8351608,11370545.42777968,14725526.823050028,14467832.901839837,14068980.669493727,13670866.476945665,13298067.541880565,12924361.24748474,12454401.903259687,10634524.939132653,8818047.53150847,7001981.249639034
Utility Bills (res),1664760.117398028,2010301.9397903227,2355939.3077432727,2700959.8881142377,3046448.889091452,3392823.280551252,4976059.8512008,6559187.789429274,8141024.764594933,9721924.361537883,12739379.67092956,12542303.425121032,12196220.665305369,11850753.740067894,11502364.703458628,11154938.109811287,10791788.375729414,9210438.824700397,7628372.019880873,6046230.58786889
Utility Bills (work),153585.92416073152,185339.76024383184,217171.94638204054,255980.57252808436,289990.2878709096,312966.40580726566,458886.85373849043,604724.2298407615,768127.3025114676,946432.2729226985,1131629.6846566268,1083673.325360349,1051797.4093647338,1019500.3127306666,1014892.5045713154,1008555.4806321077,929658.2559414472,784837.5404200597,644006.6167124637,503320.8816693798
Utility Bills (pub L2),44768.415780167794,54034.47078240514,63335.560182576126,72638.50477567216,81942.24474552594,91255.47987149454,133794.23282604586,176302.98909286803,218906.2468051566,261502.19799061425,371953.8626915682,366779.4448132265,357877.2113140179,349142.7175122773,340704.05716175976,332205.19000630267,322963.3534601522,282851.3613836,242796.3181910517,202854.11497404825
Utility Bills (DCFC),75620.04233125552,91274.68523556358,106988.28547616198,122557.85276999098,138227.42276497724,154146.36713805966,226003.04155361725,297809.89065928763,369420.5212492425,440686.5953284839,482563.6047722718,475076.7065452299,463085.38350960636,451469.7066348272,440106.27668886207,428662.46703504113,409991.9181286748,356397.2126285959,302872.5767240822,249575.66512671614
Incremental upfront vehicle cost,956421.6222752811,1195409.911572024,716123.4676592457,358059.55341143336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,1060904.9294851755,1859352.0310518916,1861057.4706254965,1862768.0265178222,1864483.7140778245,1866204.5487005091,8557421.833978841,8565352.747569667,8573307.453901257,8581286.024351852,8922819.110382348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),547904.2290761234,960168.9539402907,960956.2593401652,961745.9266562393,962537.9629742617,963332.3754012393,4416898.710545344,4420559.96667698,4424232.206577009,4427915.46319674,4585582.053692981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),220453.04839931574,386237.66296830046,386461.2188225862,386685.4453444344,386910.3445458478,387135.91844486643,1774595.683241271,1775635.299179884,1776678.03396631,1777723.8969570992,1822493.4226535615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),132271.82903958947,231742.59778098037,231876.73129355177,232011.26720666036,232146.20672750895,232281.55106692007,1064757.4099447622,1065381.1795079298,1066006.8203797867,1066634.3381742586,1093496.0535921373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),160275.82297014687,281202.81636232,281763.2611691933,282325.3873104879,282889.19983020605,283454.70378748333,1301170.0302474636,1303776.302204873,1306390.3929781532,1309012.326023754,1421247.5804436686,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),2277266.2618207503,2901178.2317910944,3453083.699281736,3979038.5186824845,4964735.573925733,5441784.644482942,7721435.769466962,10120589.245723195,12694878.948707938,15570332.969885174,15718099.066039903,15285922.948255071,14786854.994919783,14274896.198347924,13809005.526092257,13366319.78923544,10932837.950851599,8522652.743789881,5900494.705068539,3193733.0570978867
Avoided vehicle gasoline (gallons),785264.2282140518,941940.9843477579,1092748.006101815,1235726.2480380386,1375273.012167793,1507419.5691088485,2132993.306482586,2780381.6609129654,3449695.366496722,4141046.002629036,4158227.2661481225,4001550.5100144166,3850743.48826036,3707765.246324136,3568218.4821943818,3436071.925253326,2810498.1878795885,2163109.8334492086,1493796.1278654528,802445.4917331374
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,63008.98634375419,177151.5859619857,296285.963614029,420576.5125151566,550192.4431615446,685307.9157243167,1276325.5687144753,1893016.3094049904,2536223.70111063,3206815.998157566,4488006.242044265,4446573.962905988,4401146.468464478,4351568.022469495,4297677.969959996,4239310.596217205,3616618.5560180256,2964476.2397215134,2281889.218126842,1567833.5610819804
Federal EV Tax Credit,1867855.3263958753,3200222.3916742825,3131333.0642605503,3063926.6773586594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,249.04737685278337,436.0836379054822,436.0836379054822,436.0836379054822,436.0836379054822,436.08363790548265,1997.8000000000002,1997.8000000000002,1997.7999999999993,1997.7999999999993,2246.8473768527847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,39093.89390733834,54415.72098694346,61182.36297694339,68257.5274737399,75652.21498795241,110083.00356360842,267113.8648949994,376580.3717152886,453290.3341715539,533613.680423793,670212.5006376796,568419.7845764584,565660.7781638174,562419.8696457614,558674.9440583858,554403.0873283449,549580.56148283,476282.1024258263,399032.16446750413,317680.27195773623
Distribution Cost,26532.0576173581,38891.05965786743,42563.094735628474,46407.32542955552,50430.06657830883,81343.06602998574,223975.6018399888,318385.67832700704,379358.19038159924,443239.4386052907,555530.6322928565,452975.21757458214,450956.94627090206,448554.65204066696,445750.3951890428,442525.578486694,438860.9270999022,380674.2488439611,319303.948659447,254627.21200917303
Transmission Cost,12561.836289980238,15524.661329076029,18619.26824131492,21850.202044184385,25222.14840964357,28739.937533622677,43138.26305501064,58194.69338828154,73932.14378995467,90374.24181850236,114681.86834482313,115444.56700187619,114703.8318929153,113865.21760509453,112924.54886934301,111877.50884165087,110719.63438292778,95607.8535818652,79728.21580805712,63053.05994856318
Cumulative personal light-duty EV population,2100.5818104725886,2536.665448378071,2972.749086283553,3408.832724189035,3844.9163620945174,4281.0,6278.8,8276.6,10274.4,12272.199999999999,14270.0,13833.916362094518,13397.832724189037,12961.749086283555,12525.665448378073,12089.581810472591,10091.781810472592,8093.981810472592,6096.181810472593,4098.381810472593
Cumulative personal light-duty LDV population,119105.0,120837.0,122929.0,124661.0,126572.0,128423.0,130036.0,131947.0,133739.0,135531.0,136845.0,135113.0,133021.0,131289.0,129378.0,127527.0,125914.0,124003.0,122211.0,120419.0
EV sales as % of total personal light-duty vehicles,0.002090990108331165,0.0036088585276486686,0.0035474431412073812,0.0034981561025940926,0.0034453405011019987,0.003395681754089864,0.015363437817219848,0.015140927796766885,0.014938050979893668,0.014740539064863384
Peak Demand 5-9 PM,1.02666556157107,1.2398043921982382,1.4529438103443693,1.6662216727567003,1.87951289474739,2.0923541992477936,3.0687861588967738,4.04521811854574,5.021723810610825,6.214817786562926,8.139596375696495,7.963975001870252,7.750030646933698,7.538512920010986,7.375868314945646,7.430231260453608,6.882048617117371,5.921855783409378,4.9454238237603825,3.9697998559553533
Energy Supply Cost,521416.39140550175,646887.1385850064,739066.2955935912,843015.7910118946,979273.6669575281,1196290.7914764085,1883769.2616274168,2657964.204942111,3497711.00913305,4359252.760931959,6026418.059758645,6075703.811410455,6105124.286382146,6126018.157441658,6142073.3613201855,6150108.879436214,6153982.5693510845,5423848.438115541,4645533.515549118,3812372.2642266178
Energy Cost,306151.3105281669,407107.68359710166,485975.73369769054,592723.2497921222,723422.4108870429,918798.934138906,1480870.506305901,2178817.1176547785,2955521.7007479323,3737590.770779996,5268067.989484831,5370254.476402378,5404139.523389427,5429984.811093689,5447879.464123171,5457390.969767047,5455743.50452794,4803909.907302293,4103690.3836934296,3355203.1612230404
GHG Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capacity Cost,215265.08087733295,239779.45498790464,253090.5618959024,250292.54121977254,255851.25607048537,277491.8573374996,402898.7553215128,479147.08728733816,542189.308385115,621661.9901519647,758350.0702738153,705449.3350080644,700984.7629927187,696033.3463479528,694193.897197002,692717.9096691746,698239.0648231461,619938.5308132586,541843.1318557098,457169.1030035777
