Year,NPV
Utility Bills,342330107.67344946
Utility Bills (volumetric),316626544.14074725
Utility Bills (demand),19286495.97332296
Utility Bills (res),295649444.98712176
Utility Bills (work),26864376.275395755
Utility Bills (pub L2),8332626.804122996
Utility Bills (DCFC),11483659.606808957
Incremental upfront vehicle cost,12879162.844035186
Charging infrastructure cost,141581102.01713789
Charging infrastructure cost (res),73035867.4541048
Charging infrastructure cost (work L2),29303029.868222136
Charging infrastructure cost (public L2),17581817.92093328
Charging infrastructure cost (DCFC),21660386.773877673
Avoided vehicle gasoline,382463976.2042596
Vehicle O&M Savings,87815233.39912617
Federal EV Tax Credit,43337816.47660686
Total Energy Supply Cost,136936248.25844216
Energy Cost,116047408.1503058
Generation Capacity Cost,20888840.108136285
Vehicle Sales (NPV),33395.450122698996
Transmission and Distribution Cost,12291116.875815097
Distribution Cost,9571154.585927341
Transmission Cost,2719962.289887758
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
