year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,14603,247.39025835798378,0,12000,12000,0,5377.16,5377.16,31.0
2020,14796,280.66638532826926,0,12000,12000,0,3840.32,3840.32,32.1
2021,15011,338.9331082626154,0,12000,12000,0,2741.24,2741.24,33.4
2022,15271,397.19983119696155,0,12000,12000,0,1642.17,1642.17,34.7
2023,15486,455.4665541313077,0,12000,12000,0,821.08,821.08,36.6
2024,15724,513.7332770656539,0,12000,12000,0,0.0,0.0,37.5
2025,15954,572.0,0,12000,12000,0,0.0,0.0,39.6
2026,16154,839.4,0,12400,12400,0,0.0,0.0,39.6
2027,16392,1106.8,0,12800,12800,0,0.0,0.0,39.5
2028,16614,1374.1999999999998,0,13200,13200,0,0.0,0.0,39.4
2029,16837,1641.6,0,13600,13600,0,0.0,0.0,39.3
2030,17000,1909.0,0,14000,14000,0,0.0,0.0,39.2
