Year,NPV
Utility Bills,2190653437.2130733
Utility Bills (volumetric),1943077355.1186407
Utility Bills (demand),194748117.184749
Utility Bills (res),1888001026.8777556
Utility Bills (work),172732627.30218264
Utility Bills (pub L2),55191545.13130571
Utility Bills (DCFC),74728237.90182893
Incremental upfront vehicle cost,91083950.60799088
Charging infrastructure cost,1001298004.7300394
Charging infrastructure cost (res),516528460.075235
Charging infrastructure cost (work L2),207238573.96714163
Charging infrastructure cost (public L2),124343144.38028497
Charging infrastructure cost (DCFC),153187826.30737787
Avoided vehicle gasoline,2704879066.985461
Vehicle O&M Savings,621051413.2162845
Federal EV Tax Credit,306493487.4429055
Total Energy Supply Cost,1044887306.6174183
Energy Cost,898968541.1472579
Generation Capacity Cost,145918765.47016028
Vehicle Sales (NPV),236181.19627465372
Transmission and Distribution Cost,169646004.88724598
Distribution Cost,146698754.66874242
Transmission Cost,22947250.218503557
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
