year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,584527,10693.57366765935,0,12000,12000,0,5377.16,5377.16,31.0
2020,592246,12131.951708464085,0,12000,12000,0,3840.32,3840.32,32.1
2021,600857,14650.561366771268,0,12000,12000,0,2741.24,2741.24,33.4
2022,611256,17169.171025078453,0,12000,12000,0,1642.17,1642.17,34.7
2023,619870,19687.780683385638,0,12000,12000,0,821.08,821.08,36.6
2024,629372,22206.390341692822,0,12000,12000,0,0.0,0.0,37.5
2025,638579,24725.0,0,12000,12000,0,0.0,0.0,39.6
2026,646597,36263.6,0,12400,12400,0,0.0,0.0,39.6
2027,656100,47802.2,0,12800,12800,0,0.0,0.0,39.5
2028,665009,59340.799999999996,0,13200,13200,0,0.0,0.0,39.4
2029,673923,70879.4,0,13600,13600,0,0.0,0.0,39.3
2030,680453,82418.0,0,14000,14000,0,0.0,0.0,39.2
