Year,NPV
Utility Bills,757188436.7695258
Utility Bills (volumetric),700845026.7778002
Utility Bills (demand),42017134.92222661
Utility Bills (res),655615153.5631194
Utility Bills (work),58353460.40890957
Utility Bills (pub L2),18325715.867263615
Utility Bills (DCFC),24894106.930233236
Incremental upfront vehicle cost,28496371.68440565
Charging infrastructure cost,313263410.6333186
Charging infrastructure cost (res),161599709.70881695
Charging infrastructure cost (work L2),64836104.65094041
Charging infrastructure cost (public L2),38901662.79056424
Charging infrastructure cost (DCFC),47925933.48299702
Avoided vehicle gasoline,846241741.355788
Vehicle O&M Savings,194300540.40863878
Federal EV Tax Credit,95889037.29716474
Total Energy Supply Cost,303114287.54115516
Energy Cost,256426966.20972097
Generation Capacity Cost,46687321.33143416
Vehicle Sales (NPV),73891.01900243363
Transmission and Distribution Cost,25870453.25602436
Distribution Cost,19784491.76876493
Transmission Cost,6085961.487259429
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
