Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,49079713.40994409,59261977.770128325,69451015.44740802,79781268.30906728,90016060.81894875,100025607.96479158,146696112.42974436,193359611.9931263,240390949.66219422,287736068.7602844,369546313.75200576,363015573.1591989,352806337.79443187,342613266.44022846,333010781.3526065,323374435.8658545,311433228.30731577,264695721.93251547,218066121.8697562,171455364.23881805
Utility Bills (res),41927568.449958846,50629938.651437834,59335042.13757384,68027736.27811216,76730241.23624736,85449505.66723724,125323853.78819261,165195048.51578647,205042606.04407784,244875008.9653788,315681815.42028195,310707129.91134036,301991762.1359959,293291627.87850094,284529000.9278578,275778722.53910065,266612032.8538887,226752156.3685762,186906627.33752686,147068984.10125285
Utility Bills (work),4360750.109249027,5263134.514566053,6167023.45044096,7225188.607264872,8177562.349587618,8885939.617155388,13030075.22319706,17172522.516065847,21701299.653335094,26561817.683456518,33053807.44242964,31845258.610574663,30938043.53431541,30018201.742893208,29744701.050312124,29429169.89981278,27401320.02980724,23160084.988342296,19010216.901840106,14863136.06305655
Utility Bills (pub L2),1178344.6177208882,1422199.6941442234,1666962.5979192967,1915641.5752315552,2161687.1054962133,2401862.5771169774,3521497.587863384,4640344.304794446,5771210.039216194,6910198.480668361,9102275.98265393,8944129.164883157,8695104.239000862,8450250.622437429,8224944.016921392,7997137.9753025295,7718448.141676828,6592931.621785328,5470571.709347545,4351130.193741038
Utility Bills (DCFC),1613050.2330153272,1946704.9099802168,2281987.261473923,2612701.8484587,2946570.127617551,3288300.1032819767,4820685.8304913165,6351696.656479537,7875833.925565086,9389043.630780771,11708414.906640243,11519055.47240067,11181427.885119662,10853186.196396904,10512135.35751512,10169405.451638568,9701427.281942986,8190548.95381165,6678705.92104169,5172113.880767592
Incremental upfront vehicle cost,23576094.59366173,29467231.28903821,17652669.305102747,8826280.90455542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,26151641.06487073,45833613.90629388,45875653.52958825,45917819.27175258,45960111.51114335,46002530.627252325,210944003.44840446,211139503.76337188,211335590.57928422,211532265.6556442,219951164.72882122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),13506012.02661648,23668467.50091358,23687874.827294774,23707340.37565514,23726864.320660576,23746446.837501027,108878388.24644227,108968639.73118159,109059161.97037512,109149955.77628626,113036487.32152353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),5434237.162224474,9520880.191011181,9526390.913316946,9531918.16778965,9537462.00402575,9543022.471770579,43744520.8601009,43770147.824903406,43795851.67060036,43821632.627834335,44925215.65919802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),3260542.2973346887,5712528.114606703,5715834.547990169,5719150.90067379,5722477.202415451,5725813.483062347,26246712.516060535,26262088.694942053,26277511.00236021,26292979.5767006,26955129.39551884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),3950849.578695083,6931738.0997624155,6945553.240986364,6959409.827634003,6973307.984041574,6987247.83491837,32074381.825800754,32138627.512344822,32203065.935948525,32267697.674823027,35034332.35258083,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),56135331.48269565,71514958.29115875,85119602.10647117,98084554.26291177,122382297.51115039,134141707.53632233,190336053.35512245,249476180.27179176,312933484.92073154,383814609.0976231,387457365.23846793,376804101.05293006,364501925.32531697,351881982.89602304,340397637.6093749,329485301.29791236,269498962.97468007,210086895.84706944,145449610.70962545,78726811.27693722
Avoided vehicle gasoline (gallons),19357010.85610195,23219142.30232427,26936582.94508581,30461041.69655645,33900913.4379918,37158367.738593444,52579020.26384598,68537412.16258015,85036273.07628573,102078353.4834104,102501948.47578517,98639817.02956285,94922376.3868013,91397917.63533066,87958045.89389531,84700591.59329367,69279939.06804115,53321547.16930696,36822686.25560138,19780605.84847669
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,1553191.3830608951,4366842.458163147,7303542.435940493,10367343.660990296,13562417.225403292,16893056.232318543,31461885.411610927,46663566.83557573,62518894.68965575,79049271.80296691,110631083.65155801,109609771.82440013,108489976.83235997,107267859.73110701,105939460.32861207,104500693.7082975,89151074.59334505,73075493.90157986,56249438.53927381,38647668.201977946
