Year,NPV
Utility Bills,97382033.59151049
Utility Bills (volumetric),88790973.01872063
Utility Bills (demand),6790895.42170192
Utility Bills (res),83128540.68190624
Utility Bills (work),8620248.527502142
Utility Bills (pub L2),2239389.529755527
Utility Bills (DCFC),3393854.8523465768
Incremental upfront vehicle cost,3617859.4067732403
Charging infrastructure cost,39772282.64586746
Charging infrastructure cost (res),20516885.02664097
Charging infrastructure cost (work L2),8231666.581137983
Charging infrastructure cost (public L2),4938999.948682791
Charging infrastructure cost (DCFC),6084731.089405718
Avoided vehicle gasoline,107439404.87597166
Vehicle O&M Savings,24668572.397789575
Federal EV Tax Credit,12173937.771236409
Total Energy Supply Cost,38122494.54604426
Energy Cost,32306521.269344423
Generation Capacity Cost,5815973.276699824
Vehicle Sales (NPV),9381.286442859293
Transmission and Distribution Cost,3307062.2995566786
Distribution Cost,2583509.974656357
Transmission Cost,723552.3249003214
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
