Year,NPV
Utility Bills,306837094.62049466
Utility Bills (volumetric),283698082.2587301
Utility Bills (demand),17456282.851023372
Utility Bills (res),265029064.46120536
Utility Bills (work),23673150.038182985
Utility Bills (pub L2),7496527.658348863
Utility Bills (DCFC),10638352.462757403
Incremental upfront vehicle cost,11512570.269653272
Charging infrastructure cost,126565207.81735443
Charging infrastructure cost (res),65289786.61464311
Charging infrastructure cost (work L2),26195193.339620844
Charging infrastructure cost (public L2),15717116.003772505
Charging infrastructure cost (DCFC),19363111.859317973
Avoided vehicle gasoline,341896652.12833214
Vehicle O&M Savings,78501249.58226691
Federal EV Tax Credit,38739292.573767446
Total Energy Supply Cost,122768769.01205336
Energy Cost,103791360.51420125
Generation Capacity Cost,18977408.497852057
Vehicle Sales (NPV),29853.55523222575
Transmission and Distribution Cost,9303450.789167667
Distribution Cost,6842642.933884065
Transmission Cost,2460807.855283601
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
