Type,Hour,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
avg_weekday,0,13.40767846047897,16.180794618269445,18.950263793893658,23.55672553160979,26.893920097213574,27.30749606933876,40.051269401254224,52.79504273316954,70.13057438374275,91.38416865677316,111.57231802238732,101.72731125201472,99.00587008991285,96.10505355687378,100.77885877496388,104.98532494536227,88.88963956647011,75.075161106263,62.33138777434791,49.55868877786204
avg_weekday,1,10.94797932449583,13.2143927287907,15.478547265221385,18.88049828002804,21.496290576313225,22.301251947955627,32.708727577396,43.116203206836396,56.36772216684624,72.04601080784586,90.86759683176672,84.300890051255,82.0676700245836,79.71977859380463,82.22192374681424,84.43460843403554,73.62941034884402,62.534840397857955,52.127364768417806,41.700777112234995
avg_weekday,2,8.429340413653755,10.175648110699436,11.920673299357516,14.311700651304335,16.256373806780054,17.172918718847104,25.187120498632996,33.20132227841902,42.83027518369366,53.83706542061537,70.82978223710766,66.50769067321974,64.7827581280183,62.98511236200972,64.27881391229687,65.408169649743,58.20218190913334,49.7469006332493,41.732698853463496,33.70509737973182
avg_weekday,3,6.479567193602081,7.8229935102976516,9.16580566251431,10.817973750184077,12.256392832293617,13.202464376608182,19.36374745474053,25.525030532872798,32.45958167934456,40.053948196192174,54.612593626539606,52.04417215765907,50.712577573708224,49.34136302925089,49.663563321224416,49.90706209243251,45.563215176210214,39.158550496638654,32.99726741850626,26.827959601146564
avg_weekday,4,5.366416192660915,6.479367212340541,7.591921544539458,8.904288192310343,10.078594829402451,10.934895279062259,16.03795659566053,21.141017912258704,26.743531366623536,32.772218111672764,44.217972904025366,42.48793868537374,41.3821033648282,40.25226082119771,40.14591191961515,39.98872987956315,37.065119439311566,31.815467285373014,26.71240596877485,21.60469193090922
avg_weekday,5,4.818566747303601,5.81763199072248,6.81624709611908,8.041597666950533,9.110285718309191,9.818118730716824,14.400006404796752,18.981894078876675,24.130531167749915,29.762765071677425,38.42281357110487,36.92336677085121,35.92998660033402,34.91655103434327,34.74550293122677,34.516772321016404,32.0409453296152,27.340870671778294,22.758982997698453,18.174223475711912
avg_weekday,6,4.707950736059397,5.683374630755408,6.658109404439575,7.979955876350144,9.061966056755425,9.59153947944559,14.067687886454513,18.54383629346337,23.887627314125474,29.971761762792475,36.9210458955334,35.2282250413689,34.25931916510392,33.266283041663385,33.27110137703595,33.187612958293386,30.479910084471683,25.866870573497195,21.390722166488274,16.912379346798836
avg_weekday,7,5.388230199368039,6.502981625219379,7.616373744175447,9.414451595724366,10.739446898368335,10.97474811089667,16.096407817264666,21.218067523632673,28.05117205192158,36.34462085833154,42.72199365317568,39.48800248238026,38.388833580646065,37.23386949778482,38.41109301692044,39.414129451774635,34.22324620253378,28.776634668915463,23.654974962547403,18.526240176871955
avg_weekday,8,6.07397288215083,7.330139157323913,8.584612246962799,10.691946439523369,12.209997570928115,12.370699396945714,18.143817103220925,23.916934809496126,31.821869565449923,41.54584446259038,47.62325666393162,43.570431375879956,42.334439180284456,41.02664894793633,42.72590558649445,44.20819058135738,37.68989870022834,31.496613370077572,25.723495663802385,19.9407950791231
avg_weekday,9,6.2273881220041485,7.515847417367185,8.802770119963256,10.86367782036049,12.389801782549293,12.684109689877175,18.603488690958166,24.522867692039203,32.37690452762061,41.88174918507735,50.29865928887022,46.4223697619858,45.15308514496043,43.81603686264646,45.323603196570765,46.634264317450615,40.36081161681234,34.04266292026708,28.12328391918606,22.19433525859687
