Type,Hour,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
avg_weekday,0,33.51165605901477,40.44677363676086,47.3741471908916,58.20220167350755,66.33508669622498,68.25994261469735,100.11472127512415,131.96949993555114,173.57434747946292,223.49871631889928,274.38322937877206,253.13863366039968,246.31127283673538,239.10895115661907,247.72757669821345,255.3538517273013,220.60600617963772,186.51739377755192,154.6626151171252,122.74840002257984
avg_weekday,1,27.1156233854719,32.73302573460836,38.3462512079201,46.06337778974175,52.32681715175143,55.2418464403559,81.02148708675645,106.80112773315679,137.83964012736178,173.36543317764512,223.22506044842615,209.4222569045079,203.87268728763001,198.09166453019313,202.140643004137,205.6543797134825,182.68682736731228,155.50659037592195,129.72694972952155,103.90546405889927
avg_weekday,2,20.74932532817816,25.048994319945585,29.345869130607664,35.05017882131116,39.78202355652885,42.27390125578127,62.00180778533789,81.72971431489474,104.97561867124448,131.223353905648,174.8998853178146,164.99624983477463,160.744711305,156.33005935264413,158.8588560067955,161.02959499098154,144.45754434117538,123.73720963542299,104.00930310586631,84.25062978981688
avg_weekday,3,16.2597188029871,19.63026545928322,22.999050369409357,27.25523051841592,30.898266298390826,33.12899085093161,48.58925393314078,64.04951701534989,81.72789659172798,101.2989466332793,138.74434299821692,131.98787721402704,128.64871129376317,125.20359086538177,126.27443254058888,127.1195169348897,115.76104530539159,99.65420739225698,84.19394431004771,68.71324042676649
avg_weekday,4,13.787105527051626,16.645432386131578,19.502384943958166,23.051575924018444,26.12246583593746,28.09164136744643,41.20113111634962,54.3106208652527,69.15041679000495,85.46664526613445,116.86338851281405,111.63293605777665,108.79778387266457,105.88390317481084,106.31862660998002,106.5772415231569,97.80325795959432,84.2156850822303,71.10619533332665,57.98207496114193
avg_weekday,5,13.30872028194644,16.066878889477803,18.823361580243052,22.42400705924944,25.441379564187287,27.115246344303475,39.76908309737979,52.42291985045609,67.18681007499701,83.75116294245075,110.0844943911104,104.71199580627244,101.97759104548848,99.16073482869675,99.82566756473497,100.27584154687577,91.39371166250992,78.24769973466398,65.59386298158766,52.926726249150335
avg_weekday,6,15.109765382604866,18.237411654769385,21.361825374222335,26.11448267065403,29.742107583661948,30.778343018779907,45.14163233374678,59.504921648713555,77.93813806761244,99.84413458858293,121.21862874453711,113.33062204338572,110.23946035991679,107.0173332921873,109.26498188767656,111.09839810227452,98.41569338754584,83.29116852340567,68.92787920843861,54.54834078963685
avg_weekday,7,19.69258513099466,23.762082797662167,27.82497892978531,35.21308185036626,40.30363827883243,40.10204677240139,58.81641679429879,77.53078681619606,104.55678135537642,138.67490396034322,159.9479093383476,144.774342865635,140.78231859082834,136.51392020833285,143.8117041477231,150.26354074581042,125.96373064268475,105.63501787531361,86.92064785341593,68.17010664021535
avg_weekday,8,24.57625818259753,29.655203966070083,34.725992532142655,43.905588602110555,50.24621047651336,50.047564711349594,73.40319665748832,96.75882860362697,130.3847587173005,172.7741104372449,199.8446147261676,179.30147986877265,174.3317379802852,168.9799688800835,179.71887964689043,189.41249157817373,156.07734267529165,130.45539699103432,107.09976504489566,83.68586082079234
avg_weekday,9,27.315533674725497,32.96372283489592,38.60395450667709,48.25238976099339,55.13136294374739,55.63118208844574,81.59251349548063,107.55384490251532,143.53400680228756,188.06301842164908,221.1039844455922,201.49499227934734,195.94701819512758,190.0453642940936,198.99728980087968,206.92951055552206,175.24422049643584,147.1993368053752,121.23800539834042,95.22619205126392
avg_weekday,10,29.55254304385492,35.672183608617786,41.7863525136348,50.656607902689096,57.62254959451873,60.20211223602104,88.29655367136583,116.39099510671078,151.37449862144027,192.23628867553026,234.38318126163506,217.11260536107005,211.0810364010556,204.74863803430603,211.18815521421504,216.92651178009405,188.2690684900105,158.35575314147098,130.2613117061262,102.11284833290051
avg_weekday,11,31.04337764887577,37.47872382396966,43.910788171506965,51.99591593871888,58.938862090549904,63.250917377773455,92.76814074420615,122.28536411063905,155.93455379425924,193.10946028860255,241.6573991703507,227.98188612920936,221.61263005568873,215.02304069406642,217.86503016656255,220.28647298020493,197.12493995894096,166.24942082052226,136.7321974540884,107.16920447030833
avg_weekday,12,31.332247294051008,37.8313442363808,44.32849344837456,51.80671851359345,58.607070734061566,63.84601673803704,93.64095434910631,123.43589196017564,155.68310837185476,190.0228008417065,241.73341284026216,232.82451553648502,226.359010296687,219.7796791230757,218.04594347598464,216.06261778458875,200.9988011393491,170.5112372983453,140.71629968727615,110.89987369227264
avg_weekday,13,31.7649323131512,38.35642435968505,44.94687515687582,52.06180543078516,58.814347420722676,64.73216749524582,94.94064392790426,125.14912036056306,156.6685758555274,189.30666121425725,239.09948885206296,232.8123859015243,226.23689967325123,219.60643408415103,215.30576714640702,210.87167030576654,200.17363843304182,169.6342305494149,139.4257541167567,109.20775727139991
avg_weekday,14,31.690740856812297,38.26627849116808,44.84058005080455,52.0374950377409,58.80421623919537,64.58003294263142,94.71751294144485,124.85499294025809,156.54874578354512,189.57043232924582,239.77818620028967,234.10448876118278,227.53973564476593,220.9344276457022,215.99789571740894,210.9029681743497,201.43956070682327,171.07481569804054,140.93733569922665,110.79683325572232
avg_weekday,15,31.997406868389206,38.63874007948325,45.27958922029555,52.164265576691704,58.88046989526111,65.20861723647124,95.63943785033238,126.07025846419285,157.11054501264192,188.67087556101447,239.70914367608304,233.5089107914133,226.88444285304024,220.20607005572572,215.86905458385144,211.47000838790984,200.64034755248804,169.86574373131768,139.43492311745683,108.99017976082888
avg_weekday,16,31.79008752396347,38.3874905569121,44.98409535150944,51.98277447689413,58.70364096473804,64.78459632081801,95.01753964533276,125.25048296984716,156.48844374986027,188.58396402235462,238.0081405968806,231.0818706867588,224.50608567571396,217.86003758532644,214.24807695444028,210.5338268321697,198.5275780458526,167.85254515736148,137.61960183284702,107.3699403963222
avg_weekday,17,31.380667658262894,37.89072828334789,44.3991628082874,51.72666738518104,58.48823677536804,63.94623614427686,93.7879430153391,123.6296498864009,155.5186888959714,189.15467180192374,235.10691809131342,228.00184101301576,221.51255900895012,214.95010130121713,211.4629796466283,207.76748294144232,195.86426950305452,165.590749315792,135.74904244472995,105.89671753380284
avg_weekday,18,29.976007654981416,36.19487280717542,42.412257882466946,49.37516079627997,55.822949311598975,61.08422795232744,89.59032518197048,118.09642241161346,148.46600204669366,180.42565060755587,227.4651130919138,221.34892805889223,215.14501819038438,208.88640648595157,204.89860490486717,200.72114028220074,190.5505134355454,161.73113689780928,133.22503966816635,104.71326576096773
avg_weekday,19,32.02584114741867,38.68129881978214,45.33917327606248,50.779708607195204,57.06136252572081,65.2804414367563,95.74478015676969,126.20911887678318,153.63061955329505,178.455732839703,233.52134281008048,235.77556658081474,229.08143309007968,222.51949766951876,210.34631083908437,198.48282047623633,201.72778495601838,172.06229958958463,141.5979608695701,111.15725680202155
avg_weekday,20,31.765695160085073,38.36339275527911,44.96218278246769,51.010712523825354,57.439443759372665,64.74392769860894,94.9578922500794,125.17185680154978,154.01040106382874,181.67532916780556,236.86897982931032,235.82697142808456,229.2118764259211,222.65628241595257,213.57561768349655,204.63494160601553,202.49191485824733,172.63733819745138,142.42337364598177,112.22000695803294
