Type,Hour,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
avg_weekday,0,380.462510731011,459.14614514617057,537.7236103870216,669.7787112833422,764.8835224613514,774.8773684868667,1239.8040627487242,1704.7307570105777,2325.60742469989,3086.944195175318,3761.1377452571323,3436.779678133378,3359.8975068079444,3276.8997840772117,3454.0804820889643,3617.656232625278,3079.2737225415576,2577.188954695658,2112.2622604338035,1646.3987577756252
avg_weekday,1,308.84668482181223,372.78326221755,436.6561825118386,532.5933182484006,606.3757338732639,629.1271663646968,1006.6036879715173,1384.080209578331,1855.061492285876,2410.26009203774,3059.1086881035985,2839.6165679196565,2776.8779905006427,2710.1181065641326,2815.0942065195713,2911.913027986767,2543.841636940841,2141.7101661289125,1764.2336445220892,1386.0766473950707
avg_weekday,2,236.72720311194098,285.77333315707745,334.7846171861564,401.3479125486666,455.78367280308385,482.28497771658266,771.6561343678351,1061.027291019092,1401.5831282849072,1788.2396819675791,2376.6319336247384,2235.7444156905235,2187.451132659563,2136.6646535509935,2192.8453478494534,2244.560732689994,2005.5571492654842,1700.7337033398942,1411.3625466886397,1121.5210902636527
avg_weekday,3,182.49994462619136,220.34043052812828,258.16442100628535,304.29719102031424,344.68902265341023,371.85722843114365,594.9716965817236,818.0861647322984,1065.4304615196936,1334.597937535768,1835.9437133703386,1752.08602821822,1714.669200859693,1675.8697992544292,1696.688620030251,1715.3936504751362,1571.3607022734923,1339.5755626888733,1116.4610945382951,893.0562026888252
avg_weekday,4,147.7283804219668,178.3708244592989,209.00403524393388,244.28805476694484,276.3586051789691,301.02727972997036,481.64375368996014,662.2602276499513,856.4392589346262,1062.8337344030956,1467.661828288064,1415.4613901232462,1385.0550035654098,1353.8779859917317,1355.9273450308167,1356.7935177186741,1266.9723540961281,1081.5243470749147,900.9078731149207,720.1299277260072
avg_weekday,5,127.92934999627704,154.46468260501698,180.9919089954793,211.60225452413746,239.39137519381586,260.68211188624895,417.0914709170084,573.5008299477693,741.8172658957914,920.8580976928332,1247.8862842886806,1209.2029808149564,1182.8219458992467,1155.9235904576474,1151.127012302512,1145.2916705459152,1079.6059123171058,920.0218351826603,763.6124761519004,607.1147085917172
avg_weekday,6,118.02999571090932,142.50968006549363,166.9810716013633,195.6295733077889,221.39190719666686,240.50626808137494,384.8101137165617,529.1139593517495,685.5989759029227,853.0552576701756,1133.0893165682492,1100.0038009644124,1075.6440620971,1050.8690980025476,1043.6440533707819,1035.35633340243,979.9919518422821,833.2042203093787,688.900374674187,544.5442810152416
avg_weekday,7,114.2490296975705,137.94416356233916,161.63113981339484,189.42712319276075,214.38399444638117,232.80128035329315,372.48213063537116,512.1629809174483,663.8264019437132,826.2822141540214,1085.0423613077498,1056.1379546444334,1032.5346918822395,1008.6015310117937,998.4449956241583,987.2431106156654,939.4835531413025,797.8857083736639,658.2048580915873,518.4989313540344
avg_weekday,8,115.18049668097326,139.07245935703784,162.95748347822277,190.33747223718174,215.3026205803646,234.70544721936236,375.5287982923624,516.3521493653612,667.3674177830728,827.5622822363781,1079.000774629717,1055.6812789208086,1031.8415030371466,1007.799193852661,992.0094296639568,975.3305309848741,937.2474680991742,795.3166930199054,654.4933419469038,513.6748167148827
avg_weekday,9,119.13205726974421,143.85490394383734,168.5745290990321,194.91684007617724,220.1379587921464,242.7765333332916,388.442538919973,534.1085445066499,684.5065807396527,839.166634441208,1102.0117053906215,1086.831982505718,1062.1071716434722,1037.3671099559258,1012.9614251431949,988.1429218670814,963.1662020740877,817.5139401822202,671.8479345955415,526.2105652275828
