year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,685988,56811.09682974293,0,12000,12000,0,5377.16,5377.16,31.0
2020,695046,64452.68014824267,0,12000,12000,0,3840.32,3840.32,32.1
2021,705152,77833.14411859414,0,12000,12000,0,2741.24,2741.24,33.4
2022,717357,91213.6080889456,0,12000,12000,0,1642.17,1642.17,34.7
2023,727465,104594.07205929708,0,12000,12000,0,821.08,821.08,36.6
2024,738618,117974.53602964855,0,12000,12000,0,0.0,0.0,37.5
2025,749422,131355.0,0,12000,12000,0,0.0,0.0,39.6
2026,758832,210168.4,0,12400,12400,0,0.0,0.0,39.6
2027,769985,288981.8,0,12800,12800,0,0.0,0.0,39.5
2028,780440,367795.19999999995,0,13200,13200,0,0.0,0.0,39.4
2029,790901,446608.6,0,13600,13600,0,0.0,0.0,39.3
2030,798565,525422.0,0,14000,14000,0,0.0,0.0,39.2
