Timestep,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,3.057974013185309e-08,3.300588022062175e-08,3.4149598881804876e-08,3.3180488481435746e-08,3.258656066749507e-08,2.9413595951333853e-08,2.4735684385945235e-08,2.3782776201884817e-08,2.3363186237037186e-08,2.308551014151776e-08,2.229445167964746e-08,2.2238296040931384e-08,2.285895171974436e-08,2.3244155973903834e-08,2.333254258084144e-08,2.3408740474922607e-08,2.349798665125076e-08,2.3553677685133548e-08,2.3600623704291117e-08,2.3647860780357332e-08,2.3701940861683216e-08,0,0,0,0,0,0,0,0,0,0
1,2.9222510657352775e-08,3.1540970666972776e-08,3.2633927331134315e-08,3.170782923871008e-08,3.1140261895176606e-08,2.8108123792183328e-08,2.3637833332411558e-08,2.2727218348630895e-08,2.2326251166875577e-08,2.2060899250030582e-08,2.1304950565283106e-08,2.125128729856548e-08,2.184439623639346e-08,2.2212503858430056e-08,2.229696757695953e-08,2.2369783557810045e-08,2.2455068695212535e-08,2.2508287977787915e-08,2.2553150378162715e-08,2.259829091738297e-08,2.264997074677596e-08,0,0,0,0,0,0,0,0,0,0
2,2.7477063331539927e-08,2.9657042774885333e-08,3.0684717632529337e-08,2.981393495970802e-08,2.9280268156535528e-08,2.642923828908784e-08,2.2225956253749712e-08,2.136973189050546e-08,2.09927142969063e-08,2.0743211729868647e-08,2.0032415517669324e-08,1.9981957533567047e-08,2.0539640343175377e-08,2.088576106367467e-08,2.096517980255253e-08,2.1033646517847384e-08,2.1113837612621013e-08,2.1163878131552774e-08,2.1206060921072707e-08,2.1248505236330843e-08,2.129709825292153e-08,0,0,0,0,0,0,0,0,0,0
3,2.63472475424785e-08,2.843758948835183e-08,2.9423007891360283e-08,2.858803050095665e-08,2.807630727934698e-08,2.5342507500153688e-08,2.1312058141732393e-08,2.049104044496846e-08,2.012952525149346e-08,1.9890281857215612e-08,1.9208712523218595e-08,1.9160329296030292e-08,1.9695081021774925e-08,2.0026969775407055e-08,2.0103122934406567e-08,2.016877440066873e-08,2.02456681574436e-08,2.0293651085005435e-08,2.0334099381248157e-08,2.037479844968147e-08,2.0421393394035705e-08,0,0,0,0,0,0,0,0,0,0
4,2.634235268410937e-08,2.8432306280962507e-08,2.941754161044461e-08,2.8582719344255033e-08,2.8071091191881338e-08,2.5337799304933982e-08,2.1308098733601044e-08,2.0487233567583925e-08,2.0125785537317083e-08,1.9886586590282847e-08,1.9205143879962675e-08,1.9156769641532848e-08,1.969142201974769e-08,2.0023249114246732e-08,2.0099388125319522e-08,2.0165027394686024e-08,2.0241906865944043e-08,2.0289880879116084e-08,2.0330321660771898e-08,2.0371013168029216e-08,2.041759945585669e-08,0,0,0,0,0,0,0,0,0,0
5,2.7450957420237875e-08,2.9628865668808884e-08,3.065556413431238e-08,2.978560879063267e-08,2.9252449023385405e-08,2.6404127914582693e-08,2.2204839410382458e-08,2.134942854445456e-08,2.0972769154632152e-08,2.0723503639560576e-08,2.0013382753637772e-08,1.996297270958067e-08,2.0520125665696767e-08,2.0865917537486136e-08,2.0945260820754796e-08,2.101366248593949e-08,2.1093777391289883e-08,2.1143770366809415e-08,2.118591307853252e-08,2.122831706751867e-08,2.127686391596665e-08,0,0,0,0,0,0,0,0,0,0
6,2.8938447502986257e-08,3.1234370466719686e-08,3.2316702830962305e-08,3.139960705693814e-08,3.0837556863241993e-08,2.7834893254213612e-08,2.3408057130854856e-08,2.2506293958875694e-08,2.210922445736361e-08,2.184645194594345e-08,2.1097851608860104e-08,2.1044709986466473e-08,2.163205349237322e-08,2.1996582851970664e-08,2.2080225524334863e-08,2.215233368314191e-08,2.2236789789615633e-08,2.228949174370207e-08,2.2333918050302706e-08,2.2378619792045533e-08,2.24297972575066e-08,0,0,0,0,0,0,0,0,0,0
7,2.8391989459231482e-08,3.064455745130502e-08,3.170645163459838e-08,3.0806673802822404e-08,3.0255237062018205e-08,2.7309274134036182e-08,2.2966031997802825e-08,2.2081297235479666e-08,2.1691725780399028e-08,2.1433915323440432e-08,2.069945115159937e-08,2.064731302695773e-08,2.122356545469874e-08,2.1581211238364317e-08,2.1663274447590088e-08,2.173402095479518e-08,2.1816882237679213e-08,2.1868588996472985e-08,2.191217638064719e-08,2.1956033998794837e-08,2.2006245056584677e-08,0,0,0,0,0,0,0,0,0,0
8,2.5009382342845067e-08,2.699358053536393e-08,2.7928961188268202e-08,2.7136382427600024e-08,2.6650643578321165e-08,2.4055661168245865e-08,2.022987068080619e-08,1.945054276598296e-08,1.9107384654996745e-08,1.8880289604143782e-08,1.8233329118438107e-08,1.8187402703324648e-08,1.869500071127905e-08,1.901003675902916e-08,1.908232299944056e-08,1.9144640803927412e-08,1.9217630035909235e-08,1.9263176477881525e-08,1.930157088337757e-08,1.9340203327309543e-08,1.9384432265331243e-08,0,0,0,0,0,0,0,0,0,0
9,2.1268625790842187e-08,2.2956039269233128e-08,2.375151117677131e-08,0.0,0.0,2.045755662914592e-08,1.7204005417202566e-08,1.654124479554833e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
10,1.9861891906242398e-08,2.143769771704228e-08,0.0,0.0,0.0,1.910446788757194e-08,1.6066110679234227e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
11,1.918124660961384e-08,2.0703051280009584e-08,0.0,0.0,0.0,1.844977868305661e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
12,1.824243787625317e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
13,1.9227245727364734e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
14,2.1347185578184046e-08,2.3040831844970617e-08,0.0,0.0,0.0,2.0533120575501668e-08,1.7267551742211755e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
