year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,93,67315,9833,0.0,0.0,65.1,9.3,9.3,9.3,9833,3244.8900000000003,4916.5,7374.75
2012,266,68251,9833,0.0,0.0,186.2,26.6,26.6,26.6,9833,3244.8900000000003,4916.5,7374.75
2013,536,69201,9833,0.0,0.0,375.2,53.6,53.6,53.6,9833,3244.8900000000003,4916.5,7374.75
2014,816,70164,9833,0.0,0.0,571.1999999999999,81.60000000000001,81.60000000000001,81.60000000000001,9833,3244.8900000000003,4916.5,7374.75
2015,858,71140,9833,15603.57,0.0,600.5999999999999,85.80000000000001,85.80000000000001,85.80000000000001,9833,3244.8900000000003,4916.5,7374.75
2016,1007,72129,9833,11258.79,0.0,704.9,100.7,100.7,100.7,9833,3244.8900000000003,4916.5,7374.75
2017,1321,73133,9833,6914.0,29.9,924.6999999999999,132.1,132.1,132.1,9833,3244.8900000000003,4916.5,7374.75
2018,2137,74150,9833,5377.16,31.0,1495.8999999999999,213.70000000000002,213.70000000000002,213.70000000000002,9833,3244.8900000000003,4916.5,7374.75
2019,2184,75182,9833,3840.32,32.1,1528.8,218.4,218.4,218.4,9833,3244.8900000000003,4916.5,7374.75
2020,2884,76175,9833,2741.24,33.4,2018.8,288.40000000000003,288.40000000000003,288.40000000000003,9833,3244.8900000000003,4916.5,7374.75
2021,3584,77282,9833,1642.17,34.7,2508.7999999999997,358.40000000000003,358.40000000000003,358.40000000000003,9833,3244.8900000000003,4916.5,7374.75
2022,4285,78620,9833,821.08,36.6,2999.5,428.5,428.5,428.5,9833,3244.8900000000003,4916.5,7374.75
2023,5026,79728,9833,0.0,37.5,3518.2,502.6,502.6,502.6,9833,3244.8900000000003,4916.5,7374.75
2024,5644,80950,9833,0.0,39.6,3950.7999999999997,564.4,564.4,564.4,9833,3244.8900000000003,4916.5,7374.75
2025,6262,82134,9833,0.0,39.6,4383.4,626.2,626.2,626.2,9833,3244.8900000000003,4916.5,7374.75
2026,6757,83165,9833,0.0,39.5,4729.9,675.7,675.7,675.7,9833,3244.8900000000003,4916.5,7374.75
2027,7210,84388,9833,0.0,39.4,5047.0,721.0,721.0,721.0,9833,3244.8900000000003,4916.5,7374.75
2028,7704,85533,9833,0.0,39.3,5392.799999999999,770.4000000000001,770.4000000000001,770.4000000000001,9833,3244.8900000000003,4916.5,7374.75
2029,8240,86680,9833,0.0,39.2,5768.0,824.0,824.0,824.0,9833,3244.8900000000003,4916.5,7374.75
2030,8776,87520,9833,0.0,39.1,6143.2,877.6,877.6,877.6,9833,3244.8900000000003,4916.5,7374.75
2031,9576,88737,9833,0.0,39.0,6703.2,957.6,957.6,957.6,9833,3244.8900000000003,4916.5,7374.75
2032,10171,89972,9833,0.0,39.0,7119.7,1017.1,1017.1,1017.1,9833,3244.8900000000003,4916.5,7374.75
2033,10765,91223,9833,0.0,38.9,7535.499999999999,1076.5,1076.5,1076.5,9833,3244.8900000000003,4916.5,7374.75
2034,11360,92493,9833,0.0,38.8,7951.999999999999,1136.0,1136.0,1136.0,9833,3244.8900000000003,4916.5,7374.75
2035,11954,93779,9833,0.0,38.7,8367.8,1195.4,1195.4,1195.4,9833,3244.8900000000003,4916.5,7374.75
2036,12548,95084,9833,0.0,38.6,8783.599999999999,1254.8000000000002,1254.8000000000002,1254.8000000000002,9833,3244.8900000000003,4916.5,7374.75
2037,13143,96407,9833,0.0,38.6,9200.099999999999,1314.3000000000002,1314.3000000000002,1314.3000000000002,9833,3244.8900000000003,4916.5,7374.75
2038,13737,97748,9833,0.0,38.5,9615.9,1373.7,1373.7,1373.7,9833,3244.8900000000003,4916.5,7374.75
2039,14331,99108,9833,0.0,38.4,10031.699999999999,1433.1000000000001,1433.1000000000001,1433.1000000000001,9833,3244.8900000000003,4916.5,7374.75
2040,14926,100486,9833,0.0,0.0,10448.199999999999,1492.6000000000001,1492.6000000000001,1492.6000000000001,9833,3244.8900000000003,4916.5,7374.75
