Year,NPV
Utility Bills,735937525.0286264
Utility Bills (volumetric),644374200.3969522
Utility Bills (demand),76849478.5768769
Utility Bills (res),537204986.2102871
Utility Bills (work),110184414.09081015
Utility Bills (pub L2),60440868.411265865
Utility Bills (DCFC),28107256.316263195
Incremental upfront vehicle cost,27363794.200250745
Charging infrastructure cost,438312164.1975046
Charging infrastructure cost (res),155179052.49073488
Charging infrastructure cost (work L2),105453953.56408203
Charging infrastructure cost (public L2),120896525.57345647
Charging infrastructure cost (DCFC),56782632.56923122
Avoided vehicle gasoline,812616882.0095074
Vehicle O&M Savings,186580379.78259218
Federal EV Tax Credit,92077963.87972017
Total Energy Supply Cost,282139254.6391818
Energy Cost,241790997.97318152
Generation Capacity Cost,40348256.66600032
Vehicle Sales (NPV),70955.17968113135
Transmission and Distribution Cost,24326130.855131183
Distribution Cost,18995110.359081622
Transmission Cost,5331020.496049563
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
