Type,Hour,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
avg_weekday,0,31.89851108056795,38.51773524862474,45.13591851591341,52.278405682082436,59.058625879515624,65.00440359795762,95.33992409867545,125.6754445993935,157.32150529134654,190.08582136794428,247.56950961855316,242.8224499621569,236.20735574579768,229.57300341050984,223.6828199561662,217.65925126670754,209.80569879266673,179.3785940247718,149.04307352405385,118.70999761770967
avg_weekday,1,26.27742057691893,31.736654772522492,37.19730243451227,41.945984114693125,47.18659758981934,53.560322338934924,78.55524831943998,103.55017429994531,126.76548346671812,148.46228438943226,203.4639851818062,203.22346232626168,197.74667816732858,192.33196235349544,184.3123528755483,176.4738706981643,175.5788401193656,150.94895188774146,125.9540259072372,100.9678140018899
avg_weekday,2,20.386369532809006,24.624585329511465,28.864910321306162,32.04282932376401,35.95481610284119,41.55764799928267,60.95130155298563,80.34495510668826,97.08303857707168,111.55518196806182,159.99523669846215,162.03991879653685,157.77420431509486,153.60505032332406,145.3738860446055,137.41300255719895,140.30246674110387,121.4799369056201,102.0862833519172,82.70695352196275
avg_weekday,3,15.925723008343784,19.23930855922292,22.555499408626023,24.559395930165866,27.470020189682923,32.46919296933553,47.62154903208668,62.77390509483813,74.64607487046321,83.71933317221539,125.92853077348464,129.40810723749107,126.0616497265401,122.83117220415329,114.72941280610198,106.9615068999641,112.18735621964599,97.71839566209891,82.56603959934803,67.4302732346029
avg_weekday,4,13.378991676595671,16.16321426003367,18.949809944720926,20.54106955559545,22.95824477954392,27.277826601630405,40.007534471987555,52.73724234234501,62.47911058360553,69.67152038319534,103.72191407885043,107.72400065937269,104.9045002008034,102.20669094282903,94.35938484460814,86.81617754021735,93.10071391597619,81.10102736201952,68.37131949166273,55.662099434552616
avg_weekday,5,12.32622395291516,14.891501084562549,17.459013907134324,18.900404524509817,21.119887539393453,25.13162158761369,36.859762754826974,48.58790392203986,57.50121114790078,64.01268191513822,94.67454189300635,98.35327411300223,95.75571287913338,93.2699360057441,86.05981362791556,79.13618172904785,84.88454047906423,73.82498231697464,62.096841149761865,50.38704309993538
avg_weekday,6,14.235813177665568,17.189414611939064,20.142390560155544,23.410425146487007,26.460770453666257,29.00969223228187,42.54760758452052,56.08552293675907,70.41095295125253,85.40835206478023,108.48609713988493,106.69645498200036,103.74168542068155,100.78632111855754,97.79083710550148,94.71520077885322,91.9025832027706,78.38319260433283,64.84527725209401,51.31250880289471
avg_weekday,7,22.560044389688354,27.21791048996727,31.866733408026622,41.0706261668617,47.127200458063804,45.9342696854454,67.37035559043345,88.80644149542177,121.62829453463625,164.16537454004163,186.55561323333987,164.9572024476269,160.41566494959255,155.46485241593055,167.7200292342589,178.81637610112986,143.97876444243468,120.1256675482907,98.68958164330287,77.19366692612857
avg_weekday,8,28.198993837011916,34.016653398582086,39.8214379088098,52.11141276951789,59.92045537898628,57.408158924718144,84.1987498013029,110.98934067788775,153.99019171134472,210.82290446728564,240.567318631391,208.02737158202282,202.3925420855509,196.12325441883306,216.6483229795254,235.52353037853663,182.5759992488223,151.9973987977684,125.2068079211839,98.31369505414393
avg_weekday,9,29.019430697907836,35.00951622912888,40.98746843402211,53.07700254470316,60.943748581676005,59.08376253271031,86.65630516622046,114.22884779973054,157.07778592956024,212.96173941869026,247.57329999105144,216.05852880613816,210.24501201166314,203.8207407452927,223.21750018200444,241.05944610085993,189.62159071284302,158.39317829315135,130.82063565964103,103.14717300054541
